City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Manjacaze,MZ,2022-05-08 17:13:05,-24.7117,33.8828,69.55,88,4,7.56
159,Oktyabrskoye,RU,2022-05-08 17:13:05,43.0645,44.7417,44.74,93,100,6.71
160,Nouadhibou,MR,2022-05-08 17:13:06,20.931,-17.0347,65.12,88,4,21.34
161,Castle Douglas,GB,2022-05-08 17:13:06,54.9409,-3.9278,56.16,79,44,11.7
162,Constantine,DZ,2022-05-08 17:13:07,36.365,6.6147,62.01,51,75,12.66
163,Hualmay,PE,2022-05-08 17:13:07,-11.0964,-77.6139,70.5,74,43,11.68
164,Castro,BR,2022-05-08 17:12:57,-24.7911,-50.0119,67.42,55,17,4.99
165,Zonguldak,TR,2022-05-08 17:13:08,41.25,31.8333,43.59,89,7,2.55
166,Shelburne,CA,2022-05-08 17:10:10,44.0787,-80.2041,59.13,42,0,9.95
167,Nikolskoye,RU,2022-05-08 17:13:09,59.7035,30.7861,43.72,74,60,5.06
168,Aguimes,ES,2022-05-08 17:13:09,27.9054,-15.4461,70.66,73,20,29.93
169,Doha,QA,2022-05-08 17:08:59,25.2867,51.5333,85.98,25,0,20.71
170,Kudahuvadhoo,MV,2022-05-08 17:13:10,2.6708,72.8944,84.45,78,54,18.07
171,Colesberg,ZA,2022-05-08 17:13:10,-30.72,25.0972,50.67,69,42,12.62
172,Monrovia,LR,2022-05-08 17:13:11,6.3005,-10.7969,77.56,89,100,9.46
173,Leua,SK,2022-05-08 17:13:11,48.2156,18.6071,70.5,68,80,4.14
174,Formosa Do Rio Preto,BR,2022-05-08 17:13:12,-11.0483,-45.1931,90.82,22,88,9.64
175,Port Talbot,GB,2022-05-08 17:10:03,51.5924,-3.7802,66.85,68,52,6.2
176,Fez,MA,2022-05-08 17:10:21,34.0372,-4.9998,89.85,15,0,9.22
177,Quatre Cocos,MU,2022-05-08 17:13:13,-20.2078,57.7625,75.31,85,28,10.29
178,Bengkulu,ID,2022-05-08 17:13:13,-3.8004,102.2655,78.08,82,96,3.98
179,Jiblah,YE,2022-05-08 17:13:14,13.9216,44.1467,66.56,74,90,2.35
180,Gao,ML,2022-05-08 17:13:14,16.6362,1.637,104.95,6,2,6.02
181,Gornopravdinsk,RU,2022-05-08 17:13:15,60.05,69.9,45.1,89,56,5.64
182,Ostrovnoy,RU,2022-05-08 17:13:15,68.0531,39.5131,32.36,75,52,13.31
183,Coquimbo,CL,2022-05-08 17:12:50,-29.9533,-71.3436,62.33,67,100,6.91
184,Aksarka,RU,2022-05-08 17:13:16,66.5606,67.7975,35.8,100,100,9.46
185,Pontes E Lacerda,BR,2022-05-08 17:14:16,-15.2261,-59.3353,86.92,36,76,3.67
186,Port Blair,IN,2022-05-08 17:14:17,11.6667,92.75,83.64,80,100,16.37
187,Nanortalik,GL,2022-05-08 17:14:17,60.1432,-45.2371,37.18,90,100,2.71
188,Ponta Delgada,PT,2022-05-08 17:14:18,37.7333,-25.6667,68.72,73,40,9.22
189,Westport,US,2022-05-08 17:12:52,41.1415,-73.3579,59.45,41,20,16.11
190,Mocuba,MZ,2022-05-08 17:14:18,-16.8392,36.9856,69.57,85,3,2.68
191,Felnac,RO,2022-05-08 17:14:19,46.1167,21.15,71.89,43,100,8.05
192,Katiola,CI,2022-05-08 17:14:19,8.1333,-5.1,91.45,47,82,8.99
