City ID,City,Country,Humidity,Max Temp,Description,Lat,Lng,Hotel Name
176,Touros,BR,86,76.98,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
177,Portobelo,PA,83,80.74,overcast clouds,9.55,-79.65,Scuba Portobelo
178,Bengkulu,ID,84,77.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
185,Kismayo,SO,84,80.83,clear sky,-0.3582,42.5454,Agan-Hotel
189,Barra Patuca,HN,81,79.92,clear sky,15.8,-84.2833,
193,Mehran,IR,20,75.38,clear sky,33.1222,46.1646,بوتیک زنانه بهار
194,Lodwar,KE,44,85.37,clear sky,3.1191,35.5973,Solmar Gracious Hotel
196,Nicoya,CR,78,81.37,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
197,Khorramshahr,IR,36,80.55,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
198,Kavaratti,IN,67,85.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
204,Mahalingpur,IN,74,77.05,overcast clouds,16.3833,75.1167,Shree Siddivinayak Idlli Center
206,Hambantota,LK,100,79.14,few clouds,6.1241,81.1185,Bungalow 63
216,Hamilton,US,69,79.65,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
220,Zabid,YE,68,83.61,clear sky,14.1951,43.3152,مغرب التريبه
222,Jurado,CO,89,78.26,overcast clouds,7.1053,-77.7641,
227,Kanniyakumari,IN,80,81.91,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
230,Sokoni,TZ,70,81.23,clear sky,-6.4333,39.55,Ujamaa Beach Resort
235,Taoudenni,ML,8,89.08,clear sky,22.6783,-3.9836,
242,Ati,TD,32,89.92,overcast clouds,13.2154,18.3353,
247,Pauini,BR,91,75.9,moderate rain,-7.7136,-66.9764,Casa do Kiwliks
249,Buraydah,SA,15,79.25,clear sky,26.326,43.975,Mövenpick Qassim
253,Wagar,SD,17,84.06,clear sky,16.1525,36.2032,
255,Adrar,MR,10,84.29,clear sky,20.5022,-10.0711,
256,Chabahar,IR,75,80.98,clear sky,25.2919,60.643,هتل گدروشیا
257,Bayshore Gardens,US,50,79.99,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
263,Sao Jose Da Coroa Grande,BR,83,76.46,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
264,Beruwala,LK,84,82.02,overcast clouds,6.4788,79.9828,The Palms Hotel
267,Mattru,SL,93,77.4,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
268,Les Cayes,HT,85,76.57,clear sky,18.2,-73.75,Villa Orphee
271,Pasni,PK,55,82.87,clear sky,25.2631,63.471,Kashmiri Hotal
276,Itarema,BR,84,76.48,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
279,Dzilam Gonzalez,MX,75,79.72,clear sky,21.2833,-88.9333,posadas
281,Zanzibar,TZ,82,76.68,clear sky,-6.1639,39.1979,Tembo House Hotel
284,Tombouctou,ML,10,83.64,clear sky,20.0,-3.0,
287,Kralendijk,BQ,78,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
